utterance_id,t_capture,t_vad_start,t_chunk_emit,t_asr_start,t_asr_end,t_stabilize,t_mt_start,t_mt_end,t_ui_render,latency_asr,latency_mt,latency_e2e
utt_000001,1770120438.918,1770120438.918,1770120439.558,1770120439.558,1770120446.325,1770120446.356,1770120446.356,1770120446.359,1770120446.398,6767.0,2.7,7480.2
utt_000003,1770120452.872,1770120452.872,0.000,1770120452.669,1770120452.866,1770120452.872,1770120452.872,1770120452.872,1770120452.909,0.0,0.0,37.3
